sr,s,calsim,calvin
SR_CLE,S1,2000,2053
SR_WHI,S3,241,200
SR_SHA,S4,2750,2496
SR_BLB,S42,36,80
SR_ORO,S6,2555,2555
SR_NHG,S92,159,159
SR_FOL,S8,550,549
SR_NML,S10,1700,1000
SR_MIL,S18,176,176
SR_MCR,S20,500,229
SR_HID,S52,24,24
SR_BUC,S53,58,59
SR_DNP,S81,1400,373
SR_SNL,S12,225,525
